,Time,TPR,FDR,SHD
0,14.29,95.68,29.12,211.0
1,14.27,95.05,23.44,171.0
2,14.63,95.36,27.5,211.0
3,14.6,90.34,33.01,283.0
4,13.97,94.76,20.0,149.0
5,14.45,95.19,30.96,247.0
6,14.37,98.81,18.83,122.0
7,14.3,95.98,23.68,166.0
8,13.93,96.27,20.24,136.0
9,14.66,89.48,34.64,298.0
10,14.48,95.51,26.18,185.0
11,14.19,96.03,26.06,198.0
12,14.02,95.44,23.65,172.0
13,14.44,93.54,33.46,287.0
14,14.51,94.52,29.82,224.0
15,14.47,91.55,32.42,254.0
16,14.35,98.49,16.42,97.0
17,14.56,96.85,19.74,136.0
18,13.93,98.98,14.34,86.0
19,14.32,97.29,21.19,148.0
20,14.99,97.27,17.32,108.0
21,14.59,89.96,33.95,311.0
22,14.55,97.51,27.04,202.0
23,14.64,94.26,23.21,178.0
24,14.35,91.53,34.68,303.0
25,14.03,94.39,25.47,189.0
26,13.95,97.6,17.01,111.0
27,14.33,97.5,21.52,151.0
28,14.35,98.75,26.85,180.0
29,14.05,97.19,16.23,107.0
30,14.04,93.04,25.89,201.0
31,14.33,98.16,24.21,162.0
32,14.03,99.18,20.69,128.0
33,13.95,96.27,28.57,213.0
34,14.39,96.16,21.58,148.0
35,14.23,96.18,21.09,147.0
36,14.05,97.23,21.19,145.0
37,14.03,98.25,24.89,175.0
38,14.49,88.98,30.63,247.0
39,14.32,97.3,20.64,133.0
40,14.18,97.45,20.89,143.0
41,14.13,94.94,27.17,198.0
42,14.25,97.13,28.83,206.0
43,14.3,98.06,22.18,139.0
44,14.09,98.38,16.35,102.0
45,15.47,97.69,23.26,165.0
46,14.04,98.1,19.16,118.0
47,14.15,97.26,19.41,123.0
48,14.51,95.73,27.07,204.0
49,14.31,96.44,27.44,190.0
50,14.17,96.17,21.42,149.0
51,14.41,95.98,24.96,168.0
52,14.04,97.8,22.38,152.0
53,14.17,97.08,25.8,176.0
54,14.35,92.34,32.71,285.0
55,14.16,97.44,25.94,184.0
56,14.44,89.93,34.69,308.0
57,13.89,94.68,20.68,139.0
58,13.93,95.93,21.11,144.0
59,14.06,98.15,16.61,104.0
60,13.92,93.51,26.1,210.0
61,14.54,95.08,29.05,212.0
62,14.34,95.33,29.15,214.0
63,14.03,97.17,23.36,170.0
64,13.74,97.79,20.94,140.0
65,14.05,98.35,20.4,130.0
66,14.18,95.06,23.0,162.0
67,14.28,96.91,19.24,144.0
68,13.93,98.03,26.55,189.0
69,14.38,95.01,26.41,188.0
70,14.01,96.83,17.03,108.0
71,14.09,96.39,20.76,144.0
72,14.06,86.89,36.06,340.0
73,14.24,93.95,24.01,188.0
74,14.18,92.68,34.1,269.0
75,14.3,94.05,29.21,217.0
76,13.8,95.73,23.66,163.0
77,13.72,96.17,20.9,143.0
78,14.46,94.05,34.11,294.0
79,14.25,93.41,26.64,207.0
80,14.2,95.71,28.11,203.0
81,13.84,94.38,26.1,204.0
82,14.07,96.33,28.27,204.0
83,14.18,96.49,25.95,180.0
84,14.05,96.58,16.96,115.0
85,14.03,94.54,35.31,301.0
86,13.77,94.5,25.88,188.0
87,14.18,94.92,27.39,192.0
88,14.19,96.95,18.59,132.0
89,13.85,95.73,28.76,220.0
90,14.25,93.45,31.3,253.0
91,14.35,94.17,32.73,264.0
92,14.23,96.95,23.72,174.0
93,13.91,94.34,29.24,218.0
94,13.76,98.81,12.89,80.0
95,14.17,95.6,24.01,180.0
96,14.46,84.32,53.22,605.0
97,14.32,91.67,30.26,253.0
98,13.98,96.41,20.1,130.0
99,14.02,96.37,30.72,226.0
